title,company,location,salary_min,salary_max,salary_midpoint,years_experience,level,skills,source,posted_date
Senior Fullstack Developer (.NET/Golang),HSC,Hồ Chí Minh,25.0,45.0,35.0,4,Senior,"Go, Microservices, Node.js, React, JavaScript, .NET",ITviec,
Web Product Engineer (Fullstack Developer),WorkBuddy,Hồ Chí Minh,12.0,20.0,16.0,2,Junior,"Angular, Mongodb, Node.js, Nestjs, TypeScript",ITviec,
Flutter Product Engineer (Mobile App Developer),WorkBuddy,Hồ Chí Minh,12.0,20.0,16.0,2,Junior,"Flutter, Nestjs, Node.js, TypeScript, English, Dart",ITviec,
"Senior PHP Software Engineer (Fullstack, SaaS product)",Rakus Vietnam Company,Hồ Chí Minh,25.0,45.0,35.0,4,Senior,"Php, Technical Writing, Postgresql, Solution Architecture, JavaScript",ITviec,
Automation Engineer,Hitachi Digital Services,Hồ Chí Minh,12.0,20.0,16.0,2,Junior,"Industrial Automation, Rpa, Robotic Process Automation (Rpa)",ITviec,
"Java Backend Developer (Java 17+, Spring Boot, English)",bbv Vietnam,Hồ Chí Minh,12.0,20.0,16.0,2,Junior,"Java, Agile, SQL, Kafka, Spring Boot, English, Spring",ITviec,
"Chuyên Viên Vận Hành Khai Thác (Network, Linux, VMware)",Công Ty TNHH Giải Pháp Viễn Thông Việt Nam - VNATEL,Hà Nội,20.7,34.5,27.6,3,Middle,"Networking, Vmware, Database, Firewall, Linux, Security",ITviec,
IT Manager (Infrastructure & Security),Titan DMS,Hồ Chí Minh,35.0,65.0,50.0,5,Senior,"English, System Admin, Cybersecurity",ITviec,
"Automation Test Engineer (Python, Embedded)",LG Electronics Development Vietnam (LGEDV),Hà Nội,12.0,20.0,16.0,2,Junior,"Testing, Embedded, Agile, Python, Automation Testing",ITviec,
"Senior AI/ML Engineer (OCR, English)",Topicus Vietnam,Hồ Chí Minh,28.7,51.7,40.2,4,Senior,"Python, Pytorch, Tensorflow, English, AI",ITviec,
"Intern Graphic Design (Photoshop, Illustrator, AI)",Công ty TNHH Anh Béo Hà Nội,Hà Nội,6.9,13.8,10.4,0,Entry,"Design, Figma, AI, Adobe Illustrator, Adobe Photoshop",ITviec,
Risk Modeling Director (Data Analysis) - TNEX - 4B055,TNEX,Hà Nội,50.0,90.0,70.0,7,Senior,"Data Analysis, Machine Learning, Data Modeling, Risk Management, Statistical Analysis, Agile",ITviec,
[Da Nang] Agile Delivery Manager,ONE Tech Stop Vietnam Company Ltd,Đà Nẵng,35.0,65.0,50.0,5,Senior,"Project Management, Scrum, Agile",ITviec,
Implementation Project Manager,Bizzi Vietnam,Hồ Chí Minh,35.0,65.0,50.0,5,Senior,"Project Management, English, Sap, Business Analysis, Jira, Erp",ITviec,
"BU Head (Automotive, Vehicle Cross Computing)",Bosch Global Software Technologies Company Limited,Hồ Chí Minh,50.0,90.0,70.0,7,Senior,"Embedded, Product Management, Embedded C, Leadership, Team Management, Project Management",ITviec,
"Machine Learning Engineer (AI, Deep Learning, Python)",VietinBank,Hà Nội,13.8,23.0,18.4,2,Junior,"Machine Learning, Cloud, Python, DevOps, AI, Deep Learning",ITviec,
"Chuyên Gia, An Ninh Thông Tin Ứng Dụng - Upto 2000$",Techcom Securities,Hà Nội,25.0,45.0,35.0,5,Senior,"System Architecture, Networking, Security",ITviec,
Lead Java Engineer,NAB Innovation Centre Vietnam,Hồ Chí Minh,35.0,65.0,50.0,5,Senior,"Java, Spring Boot, Microservices, Spring, AWS, English",ITviec,
